train_id,mean_h,crown_area,crown_perim,dbh
1,39.62949447,28.48,27.2,35
2,36.48495327,17.12,21.6,24.5
3,35.56267074,51.52,37.6,36.5
4,36.20662787,13.76,21.6,35
5,29.13069634,57.44,40.8,63
6,40.86733309,4.8,14.4,62.5
7,30.17668829,24.64,30.4,30
8,36.08361106,11.52,23.2,35
9,32.08340422,22.56,30.4,53
10,35.51203702,17.28,21.6,62.5
11,30.69114991,32,34.4,57
12,35.04419162,26.72,29.6,60
13,36.4103361,19.04,21.6,53
14,32.79930688,16.16,29.6,24.5
15,29.78373628,43.68,40,17.5
16,33.84653058,23.52,24.8,39
17,35.22306139,7.84,17.6,43
18,29.04506408,24.96,26.4,32.5
19,25.46356965,65.44,45.6,32
20,23.76341801,56.64,45.6,32
21,24.43254236,47.2,40,46.5
22,31.15104768,16.8,24,56
23,35.32649994,3.2,12,22.5
24,34.13838688,4.96,11.2,22.5
25,28.9247644,30.56,32.8,21.5
26,29.17809861,22.72,35.2,14.5
27,26.07624992,15.36,30.4,30
28,23.29318568,18.08,27.2,45.5
29,29.78983331,19.2,29.6,53
30,27.95293818,31.04,30.4,63
31,30.07620007,8,14.4,55.5
32,30.11797468,25.28,35.2,49
33,33.60052636,6.08,14.4,43
34,29.08677424,9.92,20,39
35,28.35551718,18.56,27.2,56
36,30.07082197,11.68,16.8,55.5
37,25.81825496,23.84,25.6,61.5
38,28.62262283,9.76,16.8,53
39,28.91142843,12.32,19.2,60
40,24.63975152,25.76,28,45
41,24.34530504,34.08,35.2,60
42,27.8095833,19.2,24,43
43,30.3050001,11.84,21.6,53
44,23.152085,37.6,34.4,46.5
45,21.626278,35.68,41.6,43
46,22.13908445,22.72,25.6,21.5
47,20.36968249,10.08,16.8,25.5
48,25.03229658,33.44,41.6,27
49,22.99357135,47.04,32,40.5
50,22.30763557,41.28,36,48.5
51,23.89244804,38.56,36.8,51.5
52,24.84909092,3.52,15.2,45.5
53,23.22374995,23.04,33.6,60
54,27.34447345,6.08,12.8,55.5
55,25.24085262,20.64,31.2,51
56,18.84052625,21.28,29.6,60
57,20.5400869,36.8,37.6,42.5
58,23.66385823,20.32,28,21.5
59,23.33094331,16.96,22.4,34.5
60,20.94886476,29.6,28,48.5
61,21.95476817,24.16,27.2,43
62,23.31292678,32.8,32.8,33
63,21.42254898,16.32,24,31
64,19.82395447,35.2,36,29
65,22.61556383,21.28,22.4,27
66,21.28967589,34.56,32.8,54
67,22.41049296,22.72,26.4,59.5
68,20.41542965,40.96,32.8,63.5
69,22.56397426,12.48,26.4,55.5
70,21.98255988,20,29.6,51
71,19.33487181,6.24,1.6,27
72,21.47872332,7.52,20.8,35.5
73,23.85888882,14.4,20.8,14.5
74,18.57730767,29.12,28,34.5
75,24.08407409,4.32,11.2,14.5
76,20.03556968,25.28,31.2,34
77,22.66825391,10.08,22.4,45
78,18.0890322,24.8,27.2,45
79,22.33065926,14.56,22.4,39
80,19.24132775,38.56,39.2,44.5
81,21.01664117,20.96,25.6,31
82,17.52092773,31.04,33.6,44
83,19.50441662,19.2,23.2,41.5
84,21.41393256,14.24,24,14.5
85,17.66897055,10.88,16.8,25.5
86,18.85555552,12.96,19.2,29.5
87,21.50907895,12.16,1.6,48.5
88,14.52568965,9.28,18.4,48.5
89,20.14209867,12.96,18.4,42
90,18.48254233,28.32,28,34.5
91,16.63991225,18.24,25.6,31
92,18.37999997,19.84,28,36.5
93,20.25749999,10.24,1.6,31
94,17.42339612,33.92,36,27
95,16.02131776,20.64,22.4,28
96,18.38249997,18.56,25.6,29.5
97,16.79399987,7.2,12,26.5
98,17.25902169,29.44,38.4,24.5
99,18.37723078,10.4,20,32.5
100,18.7030768,2.08,7.2,23
